,Simulation Number,Consistency Ratio,Number of Pairwise Comparisons,Computing Time (seconds)
0,1,0.32646801126615344,24,0.02212071418762207
1,2,0.5202853299580786,30,0.022939443588256836
2,3,0.45810768101680266,29,0.022930622100830078
3,4,0.12845695357481493,15,0.025107622146606445
4,5,0.4518924136633351,27,0.025763273239135742
5,6,0.42447235625164753,27,0.02123093605041504
6,7,0.2963820396615937,24,0.020969152450561523
7,8,0.4877329924839164,23,0.0219419002532959
8,9,0.36992240993909326,20,0.020026683807373047
9,10,0.3149969836089454,16,0.022886276245117188
10,11,0.25030494596535713,14,0.020950794219970703
11,12,0.5019015978791339,27,0.020867586135864258
12,13,0.6315145809549272,23,0.020403623580932617
13,14,0.56404728288017,22,0.022747516632080078
14,15,-3.19201588391779e-16,1,0.017941713333129883
15,16,0.46766813381353883,27,0.023092269897460938
16,17,0.4152358174913479,22,0.020499229431152344
17,18,0.13158437463533085,15,0.020728111267089844
18,19,1.596007941958895e-16,1,0.01897263526916504
19,20,0.24415858096569615,13,0.020956754684448242
20,21,0.4843033419775565,23,0.02160191535949707
21,22,0.3311390212958002,27,0.02052903175354004
22,23,0.6182161920237504,17,0.02006840705871582
23,24,0.5214249347974893,27,0.021363258361816406
24,25,0.2679956463176345,10,0.02886033058166504
25,26,0.3994912722423815,20,0.021759748458862305
26,27,0.2297462269170431,14,0.020189523696899414
27,28,0.34630557258640565,23,0.020756244659423828
28,29,0.4260255354786937,30,0.021544694900512695
29,30,0.44637765789436024,20,0.020830631256103516
30,31,0.40930114171580434,20,0.02109670639038086
31,32,0.38433127338355544,18,0.019692182540893555
32,33,0.5064496305086476,22,0.019999027252197266
33,34,0.3756774693280427,26,0.02122020721435547
34,35,0.25120105478876126,13,0.02040886878967285
35,36,0.1883486114063887,13,0.020871877670288086
36,37,0.550764480342433,22,0.02121257781982422
37,38,0.7452006587710126,24,0.02558279037475586
38,39,0.38104585102103655,21,0.022245407104492188
39,40,0.6001964950906452,27,0.02062845230102539
40,41,0.5232795649796291,25,0.02089238166809082
41,42,0.08458451891607587,9,0.018894672393798828
42,43,0.26865081106268446,17,0.02185988426208496
43,44,0.47035535855197436,19,0.020064115524291992
44,45,0.21232288979650563,12,0.019075632095336914
45,46,0.5974729055060434,20,0.019697189331054688
46,47,0.4370088194138277,22,0.020235300064086914
47,48,0.5595533681824567,26,0.021310806274414062
48,49,0.5342175484316117,31,0.02028203010559082
49,50,0.5173830805187262,18,0.019637346267700195
50,51,0.28590144789186955,22,0.023172616958618164
51,52,0.5052340303088754,22,0.02132272720336914
52,53,0.44803997180637056,25,0.020220041275024414
53,54,0.5253940817569005,29,0.02118849754333496
54,55,0.2903536350106588,16,0.020061731338500977
55,56,0.22277550055061449,14,0.01966714859008789
56,57,0.48854356332199267,28,0.021045684814453125
57,58,0.5404762534582536,22,0.020003795623779297
58,59,0.4232337993799117,18,0.020379304885864258
59,60,0.1602911729828088,6,0.019130945205688477
60,61,0.5081885900301178,26,0.020014286041259766
61,62,0.6006935022908432,30,0.021992921829223633
62,63,0.6422210140708542,27,0.02093672752380371
63,64,0.16448215988080908,10,0.020891427993774414
64,65,0.36182460784343184,23,0.022035837173461914
65,66,0.21608183171889872,13,0.023651599884033203
66,67,0.4262425346077062,21,0.02039027214050293
67,68,0.469164280103165,27,0.02070784568786621
68,69,0.4174998721808437,29,0.021592378616333008
69,70,0.42884682988469996,27,0.021146535873413086
70,71,0.44015054384522234,22,0.02493762969970703
71,72,0.5232584839125389,21,0.025381088256835938
72,73,0.18711423944649574,18,0.021430253982543945
73,74,0.44446748138267866,27,0.022207975387573242
74,75,0.42064787504634843,26,0.022034168243408203
75,76,0.1436799031532682,10,0.024349451065063477
76,77,0.28280646262371295,15,0.019479036331176758
77,78,-3.19201588391779e-16,1,0.01799297332763672
78,79,0.7406841453776951,28,0.020671844482421875
79,80,0.4261436841138372,28,0.02018427848815918
80,81,0.34709365391469493,18,0.020025014877319336
81,82,0.594511315947477,33,0.019667387008666992
82,83,0.4257159933923278,24,0.03615307807922363
83,84,0.5266178006443125,28,0.0356905460357666
84,85,0.6067866950583714,25,0.023427248001098633
85,86,0.04687812680875188,6,0.018782377243041992
86,87,0.5649636099838832,28,0.02136087417602539
87,88,0.42841740233263087,29,0.02072596549987793
88,89,0.4538608966495094,23,0.025033950805664062
89,90,0.4484275730647648,24,0.04258012771606445
90,91,0.3596293753046531,15,0.03429865837097168
91,92,0.3734804750801032,16,0.024725914001464844
92,93,0.49423968138869206,26,0.02100372314453125
93,94,0.2876194153568913,20,0.02026057243347168
94,95,0.4785718843647149,25,0.021871328353881836
95,96,0.28911521613645685,16,0.020402908325195312
96,97,0.6380869134458791,28,0.02046656608581543
97,98,0.3002008462190187,15,0.0197603702545166
98,99,0.4107836221372058,29,0.02197098731994629
99,100,0.6552459970772863,23,0.02029561996459961
100,101,0.19748212292183678,7,0.017966508865356445
101,102,0.4444676038681074,23,0.02048325538635254
102,103,0.2982751788644704,22,0.020102500915527344
103,104,0.39080864329470855,21,0.021354198455810547
104,105,0.33710343173070684,21,0.022252798080444336
105,106,0.3307273012853042,15,0.019826412200927734
106,107,0.0500151788981015,5,0.018285274505615234
107,108,0.2375700296474751,12,0.019715070724487305
108,109,0.40621337527034285,22,0.021316051483154297
109,110,0.28863392444275093,14,0.019197940826416016
110,111,0.42319996483433814,21,0.020666837692260742
111,112,0.44551103081725346,23,0.02048015594482422
112,113,0.06189490788057161,5,0.0189669132232666
113,114,0.17307628161848404,13,0.01946258544921875
114,115,0.569176541768136,27,0.029539823532104492
115,116,0.44730122839602926,15,0.019783496856689453
116,117,0.3823461009829873,15,0.022086381912231445
117,118,0.42577537751898425,19,0.020089149475097656
118,119,0.5632340824882226,29,0.02068305015563965
119,120,0.5679206245614297,29,0.01994609832763672
120,121,0.29691763244808583,23,0.02091360092163086
121,122,0.591528831418748,33,0.020624876022338867
122,123,0.478149513839128,24,0.020390748977661133
123,124,0.34716936026617734,26,0.02165055274963379
124,125,0.47579575658380757,25,0.02022385597229004
125,126,1.596007941958895e-16,1,0.017605304718017578
126,127,0.535394084949294,22,0.024286270141601562
127,128,0.3171400833374253,24,0.023845434188842773
128,129,0.8080998431845355,35,0.0202639102935791
129,130,0.4349632626236647,10,0.01930975914001465
